risk_band,policy_count,avg_predicted_frequency,total_claims,total_exposure,observed_frequency
1,67802,0.05169258957657602,2061,43615.87806796916,0.04725343364148771
2,67801,0.06520314988412006,2833,42731.24476457819,0.06629809207777627
3,67801,0.07475859030298433,3100,41577.22621753125,0.0745600484212405
4,67802,0.08356457705560616,3246,39655.95747960177,0.08185403168413416
5,67801,0.09194200987106484,3224,37423.52635826035,0.08614901677453436
6,67801,0.10035272003851624,3534,35128.23167602366,0.10060284367835368
7,67806,0.10978309180786726,3714,32909.859052324275,0.11285371943085538
8,67796,0.12221541842887813,3982,30770.9612860244,0.12940772187733213
9,67801,0.1456080061084276,4438,28339.522064525787,0.156601088398569
10,67802,0.2324972374794635,5970,26347.03849614492,0.22659093168568173
